Year,Title,Link
2021,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Recovery, France",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/France.pdf
2021,"IMFC Statement by György Matolcsy, Governor of the Central Bank, Hungary",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Hungary.pdf
2021,"IMFC Statement by Ueli Maurer, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Switzerland.pdf
2021,"IMFC Statement by Nor Shamsiah Mohd Yunus, Governor, Central Bank of Malaysia, Malaysia",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Malaysia.pdf
2021,"IMFC Statement by Lars Rohde, Governor, Denmark",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Denmark.pdf
2021,"IMFC Statement by Guy Ryder, Director - General, International Labour Organization",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/ILO.pdf
2021,"IMFC Statement by Olaf Scholz, Minister of Finance, Germany",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Germany.pdf
2021,"IMFC Statement by Andrej Šircelj, Chairman, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/eu-council-of-economic-and-finance-ministers.pdf
2021,"IMFC Statement by Nirmala Sitharaman, Minister of Finance and Corporate Affairs, India, Member, International Monetary and Financial Committee (IMFC)",https://meetings.imf.org/-/media/AMSM/Files/SM2021/IMFC/India.pdf
2021,"IMFC Statement by Achim Steiner, United Nations",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/UN.pdf
2021,"IMFC Statement by Rishi Sunak, Chancellor of the Exchequer, H.M. Treasury, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/united-kingdom.pdf
2021,"IMFC Statement by SUZUKI Shunichi, Governor of the IMF for Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Japan.pdf
2021,"IMFC Statement by Vincent Van Peteghem, Deputy Prime Minister and Minister of Finance, Belgium",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Belgium.pdf
2021,"IMFC Statement by Janet Yellen, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/united-states.pdf
2021,"IMFC Statement by YI Gang, Governor of the People's Bank of China, People's Republic of China,",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/China.pdf
2020,"IMFC Statement by Berat Albayrak, Minister of Treasury and Finance, Turkey",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/tur.pdf
2020,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/sau.pdf
2020,"IMFC Statement by Aso Taro, Deputy Prime Minister, Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/jpn.pdf
2020,"IMFC Statement by Mohammed Barkindo, Secretary General, OPEC",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/OPEC.pdf
2020,"IMFC Statement by Valdis Dombrovskis, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/EC.pdf
2020,"IMFC Statement by Rosthom Fadli, Governor of the Bank of Algeria, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/dza.pdf
2020,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/can.pdf
2020,"IMFC Statement by Josh Frydenberg, Treasurer, Australia",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/aus.pdf
2020,"IMFC Statement by Roberto Gualtieri, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ita.pdf
2020,"IMFC Statement by Paulo Guedes, Minister of Economy, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/bra.pdf
2020,"IMFC Statement by Angel Gurría, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/OECD.pdf
2020,"IMFC Statement by Martín Guzmán, Minister of Economy, Argentina",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/arg.pdf
